arch,encoder,normalization,pretrained,train_dataset_length,test_dataset_length,parameter_count,inference_time,last_val_loss,last_val_dice,last_val_iou,last_val_train_loss,best_val_loss,best_val_dice,best_val_iou,best_val_train_loss
deeplabv3+,vgg13_bn,zscore,other-dataset,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg13_bn,zscore,same-dataset,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg19_bn,zscore,scratch,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg19_bn,zscore,other-dataset,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
deeplabv3+,vgg19_bn,zscore,same-dataset,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
fpn,efficientnet-b0,zscore,scratch,252,1243,5758909,7.710977921485901,0.15102143360306347,0.8597323217414985,0.7752778915656927,0.022165412171965555,0.15102143360306347,0.8597323217414985,0.7752778915656927,0.022165412171965555
fpn,efficientnet-b0,zscore,other-dataset,252,1243,5758909,7.747311024665833,0.06738818775523793,0.937721108968279,0.8909669478670398,0.017722825416260295,0.06224546869819623,0.9388197302722394,0.8933285205285586,0.019647515009319973
fpn,efficientnet-b0,zscore,same-dataset,252,1243,5758909,7.603375673294067,0.06949870865297529,0.9380714304487454,0.8885282860201209,0.01896679371831909,0.061285061334662154,0.9375066573065515,0.8863318704925807,0.028589605368555537
fpn,efficientnet-b1,zscore,scratch,252,1243,8264545,10.231765432357788,0.1304124493874184,0.8720741114689281,0.7937807833486666,0.022706330206895633,0.1304124493874184,0.8720741114689281,0.7937807833486666,0.022706330206895633
fpn,efficientnet-b1,zscore,other-dataset,252,1243,8264545,10.175225925445556,0.06443798622342721,0.9430513474026325,0.8964819513015563,0.019127500021741503,0.053452029506573254,0.9462108949644376,0.9014743642277614,0.024763618226325702
fpn,efficientnet-b1,zscore,same-dataset,252,1243,8264545,10.514097900390626,0.06079819185280167,0.9463014441541578,0.903249046252029,0.01719725817914993,0.04483627438041728,0.9562655745833897,0.918176819025655,0.01942264729194225
fpn,efficientnet-b2,zscore,scratch,252,1243,9464643,10.536742420196534,0.09234650047647311,0.9093304969376359,0.8444158062278889,0.022382939943955057,0.09234650047647311,0.9093304969376359,0.8444158062278889,0.022382939943955057
fpn,efficientnet-b2,zscore,other-dataset,252,1243,9464643,10.316951971054078,0.062403005075042324,0.9419115493111522,0.8990191109028921,0.017060282832336803,0.06112211951663776,0.9415625160198872,0.8983765937393937,0.01897631709774335
fpn,efficientnet-b2,zscore,same-dataset,252,1243,9464643,10.379306230545044,0.05856653652359954,0.9479796784785325,0.9064335926635939,0.01678060713623251,0.050850290805101395,0.9485121916497031,0.9073338673561692,0.024609324832757313
fpn,efficientnet-b3,zscore,scratch,252,1243,12474073,12.00717700958252,0.19758172300872742,0.826607242670159,0.7372884290024626,0.02171334396633837,0.19057276727495323,0.8167784334859441,0.7164870102560913,0.022120244919307648
fpn,efficientnet-b3,zscore,other-dataset,252,1243,12474073,11.25648765563965,0.07792914577266044,0.930872493661035,0.8821358082281038,0.0176631517353512,0.057484445624407125,0.9447999971102824,0.9019571175425646,0.019978942172158332
fpn,efficientnet-b3,zscore,same-dataset,252,1243,12474073,11.481120681762695,0.04537024670254292,0.9577634846694222,0.9207787172312901,0.01640641993828236,0.04014086544106108,0.9599801260717243,0.9248052659959248,0.017799500109893934
fpn,efficientnet-b4,zscore,scratch,252,1243,19350889,15.278473329544067,0.21221917136388735,0.8026202067385158,0.7067426852612178,0.022364555606766354,0.21221917136388735,0.8026202067385158,0.7067426852612178,0.022364555606766354
